date,sku_id,category,sales_quantity,unit_price,sales_revenue,stock_level
2024-01-01,SKU0030,Electronics,20,23.0,460.0,389.0
2024-01-01,SKU0043,Sports,100,401.96,40196.0,178.0
2024-01-01,SKU0014,Home,55,414.09,22774.949999999997,289.0
2024-01-01,SKU0036,Clothing,40,462.95,18518.0,278.0
2024-01-02,SKU0042,Food,86,174.1,14972.6,440.0
2024-01-02,SKU0006,Sports,22,335.87,7389.14,81.0
2024-01-03,SKU0022,Food,25,409.76,10244.0,147.0
2024-01-03,SKU0042,Electronics,55,142.66,7846.3,333.0
2024-01-03,SKU0022,Sports,16,420.14,6722.24,349.0
2024-01-03,SKU0037,Clothing,32,310.57,9938.24,41.0
2024-01-04,SKU0035,Food,90,118.39,10655.1,296.0
2024-01-05,SKU0039,Sports,20,447.41,8948.2,45.0
2024-01-06,SKU0001,Electronics,50,15.39,769.5,498.0
2024-01-07,SKU0030,Home,33,376.33,12418.89,305.0
2024-01-07,SKU0037,Home,-19,466.69,-8867.11,128.0
2024-01-07,SKU0015,Electronics,34,291.49,9910.66,37.0
2024-01-08,SKU0024,Electronics,78,202.3,15779.400000000001,127.0
2024-01-09,SKU0024,Sports,51,33.01,1683.51,47.0
2024-01-09,SKU0001,Home,32,273.32,8746.24,291.0
2024-01-09,SKU0040,Clothing,56,439.83,24630.48,43.0
2024-01-10,SKU0043,Food,69,441.63,30472.47,118.0
2024-01-10,SKU0025,Electronics,745,32.41,24145.449999999997,292.0
2024-01-11,SKU0027,Food,59,214.71,12667.890000000001,225.0
2024-01-11,SKU0039,Home,62,88.77,5503.74,4.0
2024-01-11,SKU0045,Home,76,258.66,19658.160000000003,238.0
2024-01-12,SKU0040,Sports,39,455.14,17750.46,16.0
2024-01-12,SKU0040,Sports,39,455.14,17750.46,16.0
2024-01-12,SKU0009,Electronics,42,64.21,2696.8199999999997,338.0
2024-01-12,SKU0016,Electronics,45,300.28,13512.599999999999,210.0
2024-01-13,SKU0033,Home,88,166.19,14624.72,467.0
2024-01-13,SKU0001,Sports,72,103.44,7447.68,440.0
2024-01-13,SKU0032,Clothing,73,426.11,31106.030000000002,152.0
2024-01-14,SKU0045,Electronics,75,344.8,25860.0,191.0
2024-01-14,SKU0039,Home,61,46.82,2856.02,196.0
2024-01-15,SKU0035,Home,81,176.54,14299.74,210.0
2024-01-15,SKU0041,Food,53,299.24,15859.720000000001,496.0
2024-01-15,SKU0009,Electronics,4,173.41,693.64,383.0
2024-01-15,SKU0007,Home,69,436.35,30108.15,420.0
2024-01-15,SKU0004,Sports,39,397.45,15500.55,361.0
2024-01-16,SKU0011,Electronics,15,26.63,399.45,170.0
2024-01-16,SKU0011,Sports,80,215.2,17216.0,7.0
2024-01-16,SKU0028,Sports,45,130.74,5883.3,382.0
2024-01-16,SKU0036,Electronics,90,164.49,14804.1,381.0
2024-01-17,SKU0032,Food,63,416.57,26243.91,62.0
2024-01-17,SKU0026,Sports,72,225.97,16269.84,137.0
2024-01-17,SKU0011,Sports,10,371.38,3713.8,63.0
2024-01-18,SKU0009,Home,27,154.29,4165.83,0.0
2024-01-18,SKU0048,Clothing,9,470.14,4231.26,493.0
2024-01-18,SKU0022,Food,83,498.99,41416.17,64.0
2024-01-18,SKU0003,Electronics,63,392.0,24696.0,454.0
2024-01-18,SKU0050,Food,73,98.98,7225.54,149.0
2024-01-18,SKU0038,Food,4,264.27,1057.08,208.0
2024-01-19,SKU0034,Clothing,73,371.64,27129.719999999998,430.0
2024-01-19,SKU0032,Sports,60,95.93,5755.8,159.0
2024-01-19,SKU0031,Electronics,86,328.33,28236.379999999997,439.0
2024-01-19,SKU0041,Electronics,58,239.03,13863.74,332.0
2024-01-19,SKU0021,Food,85,467.84,39766.4,217.0
2024-01-20,SKU0049,Electronics,25,343.27,8581.75,254.0
2024-01-20,SKU0048,Electronics,17,368.79,6269.43,420.0
2024-01-21,SKU0006,Home,60,210.61,12636.6,442.0
2024-01-21,SKU0021,Food,20,371.42,7428.400000000001,269.0
2024-01-21,SKU0017,Clothing,85,438.6,37281.0,77.0
2024-01-21,SKU0042,Sports,39,474.17,18492.63,144.0
2024-01-21,SKU0047,Clothing,17,83.46,1418.82,282.0
2024-01-22,SKU0008,Food,54,280.5,15147.0,263.0
2024-01-23,SKU0011,Clothing,45,335.95,15117.75,288.0
2024-01-24,SKU0035,Electronics,7,110.52,773.64,428.0
2024-01-24,SKU0020,Sports,48,47.3,2270.3999999999996,220.0
2024-01-24,SKU0009,Sports,16,374.53,5992.48,50.0
2024-01-24,SKU0019,Food,33,493.96,16300.679999999998,337.0
2024-01-24,SKU0003,Sports,66,410.13,27068.579999999998,60.0
2024-01-25,SKU0003,Electronics,44,138.51,6094.44,212.0
2024-01-25,SKU0019,Sports,98,301.59,29555.819999999996,427.0
2024-01-25,SKU0018,Clothing,39,289.25,11280.75,390.0
2024-01-26,SKU0037,Home,15,349.22,5238.3,371.0
2024-01-26,SKU0046,Clothing,79,471.94,37283.26,345.0
2024-01-26,SKU0029,Home,27,297.25,8025.75,440.0
2024-01-26,SKU0011,Food,7,223.07,1561.49,260.0
2024-01-27,SKU0016,Clothing,-14,137.3,-1922.2000000000003,37.0
2024-01-27,SKU0019,Home,14,90.19,1262.6599999999999,77.0
2024-01-27,SKU0021,Sports,85,131.76,11199.599999999999,378.0
2024-01-27,SKU0002,Clothing,63,294.24,18537.12,500.0
2024-01-28,SKU0033,Sports,89,73.46,6537.94,360.0
2024-01-28,SKU0023,Sports,9,350.4,3153.6,442.0
2024-01-28,SKU0007,Home,36,129.15,4649.400000000001,53.0
2024-01-28,SKU0032,Food,645,179.48,115764.59999999999,121.0
2024-01-29,SKU0033,Sports,91,410.55,37360.05,161.0
2024-01-29,SKU0037,Food,97,118.77,11520.69,416.0
2024-01-29,SKU0035,Sports,32,27.91,893.12,294.0
2024-01-29,SKU0022,Electronics,93,351.76,32713.68,123.0
2024-01-29,SKU0029,Home,15,373.15,5597.25,251.0
2024-01-30,SKU0032,Home,58,210.28,12196.24,469.0
2024-01-30,SKU0040,Electronics,31,140.14,4344.339999999999,324.0
2024-01-31,SKU0038,Electronics,63,245.14,15443.82,169.0
2024-01-31,SKU0028,Sports,29,144.29,4184.41,450.0
2024-02-01,SKU0020,Clothing,38,204.67,7777.459999999999,122.0
2024-02-02,SKU0042,Electronics,99,78.66,7787.339999999999,277.0
2024-02-02,SKU0005,Clothing,95,374.32,35560.4,341.0
2024-02-02,SKU0033,Clothing,50,384.17,19208.5,445.0
2024-02-03,SKU0023,Clothing,71,342.23,24298.33,405.0
2024-02-03,SKU0023,Clothing,42,118.04,4957.68,320.0
2024-02-03,SKU0006,Clothing,24,155.59,3734.16,78.0
2024-02-03,SKU0028,Electronics,76,475.48,36136.48,496.0
2024-02-04,SKU0026,Food,72,54.83,3947.7599999999998,50.0
2024-02-05,SKU0039,Sports,5,108.8,544.0,27.0
2024-02-05,SKU0016,Electronics,32,77.04,2465.28,212.0
2024-02-05,SKU0009,Clothing,19,16.42,311.98,41.0
2024-02-05,SKU0040,Clothing,90,377.48,33973.200000000004,117.0
2024-02-06,SKU0028,Sports,52,294.49,15313.48,252.0
2024-02-07,SKU0044,Sports,25,73.15,1828.7500000000002,235.0
2024-02-08,SKU0006,Sports,16,378.83,6061.28,298.0
2024-02-09,SKU0003,Clothing,43,396.41,17045.63,30.0
2024-02-09,SKU0028,Home,43,153.64,6606.5199999999995,147.0
2024-02-09,SKU0019,Clothing,-11,382.9,-4211.9,153.0
2024-02-09,SKU0043,Clothing,83,478.27,39696.409999999996,51.0
2024-02-09,SKU0037,Clothing,16,241.31,3860.96,300.0
2024-02-09,SKU0018,Clothing,26,122.7,3190.2000000000003,196.0
2024-02-10,SKU0028,Sports,26,78.24,2034.2399999999998,301.0
2024-02-10,SKU0045,Food,36,19.66,707.76,46.0
2024-02-10,SKU0047,Home,-20,43.0,-860.0,247.0
2024-02-10,SKU0014,Clothing,18,42.2,759.6,10.0
2024-02-10,SKU0031,Home,44,443.06,19494.64,277.0
2024-02-10,SKU0008,Home,45,21.96,988.2,405.0
2024-02-11,SKU0026,Sports,80,71.08,5686.4,465.0
2024-02-11,SKU0034,Home,90,440.53,39647.7,89.0
2024-02-11,SKU0044,Home,70,16.37,1145.9,483.0
2024-02-11,SKU0019,Food,-3,481.87,-1445.6100000000001,492.0
2024-02-11,SKU0036,Food,60,286.92,17215.2,135.0
2024-02-12,SKU0032,Food,98,401.93,39389.14,96.0
2024-02-12,SKU0049,Sports,100,351.74,35174.0,282.0
2024-02-12,SKU0016,Home,48,29.32,1407.3600000000001,443.0
2024-02-13,SKU0018,Electronics,66,65.49,4322.339999999999,115.0
2024-02-15,SKU0026,Electronics,-19,60.23,-1144.37,233.0
2024-02-15,SKU0028,Home,-16,177.52,-2840.32,217.0
2024-02-15,SKU0013,Home,81,126.71,10263.51,164.0
2024-02-16,SKU0048,Food,3,228.54,685.62,478.0
2024-02-17,SKU0033,Sports,48,269.18,12920.64,253.0
2024-02-18,SKU0042,Food,6,186.88,1121.28,395.0
2024-02-18,SKU0026,Food,42,25.28,1061.76,139.0
2024-02-18,SKU0046,Home,10,69.08,690.8,119.0
2024-02-19,SKU0030,Clothing,84,299.21,25133.64,141.0
2024-02-19,SKU0017,Clothing,23,133.38,3067.74,304.0
2024-02-20,SKU0006,Sports,35,110.44,3865.4,253.0
2024-02-20,SKU0002,Home,91,123.78,11263.98,316.0
2024-02-21,SKU0002,Clothing,50,419.12,20956.0,389.0
2024-02-21,SKU0001,Sports,594,484.75,287941.5,151.0
2024-02-22,SKU0035,Electronics,38,210.14,7985.32,14.0
2024-02-22,SKU0019,Sports,69,18.76,1294.44,335.0
